cause_of_death,category_human
disorders of copper metabolism,none
other immunodeficiencies with predominantly antibody defects,none
insulin-dependent diabetes mellitus with neurological complications,none
secondary malignant neoplasm of other specified sites,none
neonatal cardiac failure,none
spontaneous rupture of other tendons,none
driver of all-terrain or other off-road motor vehicle injured in traffic accident,none
bus occupant injured in noncollision transport accident passenger injured in traffic accident,none
symptomatic neurosyphilis,none
unilateral or unspecified femoral hernia with gangrene,none
malignant neoplasm peripheral nerves of thorax,none
pneumonia unspecified,pulmonary disease
other specified dermatitis,none
other specified local infections of skin and subcutaneous tissue,none
palmar fascial fibromatosis [dupuytren],none
hiv disease resulting in other bacterial infections,none
other and unspecified symptoms and signs involving the nervous and musculoskeletal systems,none
gastric diverticulum,none
periodic paralysis,none
chronic hepatitis unspecified,none
atherosclerosis of aorta,none
mental and behavioural disorders due to use of cannabinoids withdrawal state,none
lipodystrophy not elsewhere classified,none
diverticular disease of large intestine with perforation and abscess,none
intracerebral nontraumatic haemorrhage of fetus and newborn,none
diverticular disease of large intestine without perforation or abscess,none
systemic lupus erythematosus with organ or system involvement,none
neoplasm of uncertain or unknown behaviour retroperitoneum,none
other congenital malformations of ribs,none
malignant neoplasm floor of mouth unspecified,oral cavity cancer
congenital cystic lung,none
motorcycle rider injured in collision with car pick-up truck or van driver injured in traffic accident,none
chronic prostatitis,none
other and unspecified water transport accidents other powered watercraft,none
hereditary lymphoedema,none
vasculitis limited to skin unspecified,none
primary angle-closure glaucoma,none
hereditary nephropathy not elsewhere classified diffuse crescentic glomerulonephritis,none
disorder of breast unspecified,none
intestinal malabsorption unspecified,none
endometriosis unspecified,none
chondrodysplasia punctata,none
unilateral or unspecified inguinal hernia with gangrene,none
early-onset cerebellar ataxia,none
duodenal ulcer acute without haemorrhage or perforation,none
acute cholecystitis,none
pustulosis palmaris et plantaris,none
infantile spinal muscular atrophy type i [werdnig-hoffman],none
other specified zoonotic bacterial diseases not elsewhere classified,none
malignant neoplasm anterior wall of bladder,bladder cancer
tuberculosis of other specified organs,none
chronic laryngitis,none
other forms of acute pericarditis,none
malignant neoplasm oesophagus unspecified,esophageal cancer
lesion of ulnar nerve,none
other specified inflammatory liver diseases,none
failure to introduce or to remove other tube or instrument,none
paget disease of bone unspecified,none
during endoscopic examination,none
degeneration of macula and posterior pole,none
congenital malformation of nervous system unspecified,none
congenital absence atresia and stenosis of anus without fistula,none
yellow nail syndrome,none
actinomycetoma,none
lobar pneumonia unspecified,none
chronic frontal sinusitis,none
hyperparathyroidism unspecified,none
occupant of pick-up truck or van injured in noncollision transport accident passenger injured in traffic accident,none
spondylosis unspecified,none
other congenital malformations of bony thorax,none
other maternal infectious and parasitic diseases complicating pregnancy childbirth and the puerperium,none
other specified disorders of male genital organs,none
nephrotic syndrome focal and segmental glomerular lesions,none
agoraphobia,none
malignant neoplasm tonsil unspecified,oral cavity cancer
nephrotic syndrome other,none
nontoxic single thyroid nodule,none
antepartum haemorrhage unspecified,none
other specified systemic involvement of connective tissue,none
other spinal muscular atrophies and related syndromes,none
intrapartum haemorrhage with coagulation defect,none
hereditary nephropathy not elsewhere classified unspecified,none
malignant neoplasm fallopian tube,none
shigellosis unspecified,none
other megaloblastic anaemias not elsewhere classified,none
alveolar and parietoalveolar conditions,pulmonary disease
malignant neoplasm lesser curvature of stomach unspecified,stomach cancer
diabetes mellitus in pregnancy pre-existing diabetes mellitus insulin-dependent,none
other specified puerperal infections,none
enchondromatosis,none
other mastoiditis and related conditions,none
chronic congestive splenomegaly,none
diverticular disease of intestine part unspecified without perforation or abscess,none
benign neoplasm larynx,none
malignant neoplasm overlapping lesion of bronchus and lung,lung cancer
disorder of kidney and ureter unspecified,none
solitary plasmacytoma,none
nutritional anaemia unspecified,none
malignant neoplasm fundus of stomach,stomach cancer
respiratory conditions due to unspecified external agent,none
accident to watercraft causing drowning and submersion merchant ship,none
other complications of obstetric surgery and procedures,none
undescended testicle unspecified,none
other inflammatory disorders of penis,none
congenital malformation of great vein unspecified,none
enlarged lymph nodes unspecified,none
nephrogenic diabetes insipidus,none
inflammatory disease of prostate unspecified,none
other specified extrapyramidal and movement disorders,none
neoplasm of uncertain or unknown behaviour other specified sites,none
chronic gingivitis,none
malignant neoplasm clitoris,none
malignant neoplasm lateral wall of nasopharynx,none
chronic active hepatitis not elsewhere classified,none
juvenile rheumatoid arthritis,none
other melanin hyperpigmentation,none
gallstone ileus,none
localization-related focalpartial idiopathic epilepsy and epileptic syndromes with seizures of localized onset,none
malignant neoplasm stomach unspecified,stomach cancer
surgical operation with anastomosis bypass or graft,none
embolism and thrombosis of arteries of upper extremities,none
unspecified occupant of special agricultural vehicle injured in nontraffic accident,none
hereditary haemorrhagic telangiectasia,none
balanoposthitis,none
malignant neoplasm male genital organ unspecified,none
legal intervention means unspecified,none
congenital absence atresia and stenosis of duodenum,none
trachoma unspecified,none
gastrojejunal ulcer chronic or unspecified with both haemorrhage and perforation,none
nonrheumatic mitral valve disorder unspecified,none
occupant of three-wheeled motor vehicle injured in noncollision transport accident unspecified occupant of three-wheeled motor vehicle injured in traffic accident,none
disorder of adrenal gland unspecified,none
malignant neoplasm other specified female genital organs,none
epistaxis,none
hypoplastic right heart syndrome,none
infections of kidney in pregnancy,none
